DATE	VISITING TEAM	HOME TEAM	TIME	NETWORK/RESULT
Sat Nov 22, 2014	Arizona	San Jose	10:30 PM ET	FS-A,CSN-CA
Sun Nov 23, 2014	St. Louis	Winnipeg	4:30 PM ET	TVA Sports,TSN3
Sun Nov 23, 2014	Montréal	NY Rangers	7:00 PM ET	NHLN-US,CITY TV,RDS
Sun Nov 23, 2014	Arizona	Anaheim	8:00 PM ET	FS-A
Sun Nov 23, 2014	Chicago	Vancouver	10:00 PM ET	CSN-CH,SNP
Mon Nov 24, 2014	Pittsburgh	Boston	7:00 PM ET	NBCSN,TVA Sports,SN,ROOT,NESN
Mon Nov 24, 2014	Philadelphia	NY Islanders	7:00 PM ET	TCN-PH
Mon Nov 24, 2014	Ottawa	Detroit	7:30 PM ET	RDS,TSN5,FS-D
Mon Nov 24, 2014	Minnesota	Florida	7:30 PM ET	FS-N,FS-F
Tue Nov 25, 2014	Winnipeg	Columbus	7:00 PM ET	TSN3,FS-O
Tue Nov 25, 2014	Ottawa	St. Louis	8:00 PM ET	RDS,TSN5
Tue Nov 25, 2014	Los Angeles	Nashville	8:00 PM ET	
Tue Nov 25, 2014	Edmonton	Dallas	8:30 PM ET	SNW
Tue Nov 25, 2014	Colorado	Arizona	9:00 PM ET	TVA Sports,ALT2,FS-A
Tue Nov 25, 2014	New Jersey	Vancouver	10:00 PM ET	SNP
Tue Nov 25, 2014	Calgary	Anaheim	10:00 PM ET	SNW,SNF
Wed Nov 26, 2014	Winnipeg	Buffalo	7:00 PM ET	SN1
Wed Nov 26, 2014	Washington	NY Islanders	7:00 PM ET	CSN-DC+
Wed Nov 26, 2014	Philadelphia	Detroit	7:30 PM ET	NBCSN,TCN-PH,FS-D+
Wed Nov 26, 2014	NY Rangers	Tampa Bay	7:30 PM ET	SUN
Wed Nov 26, 2014	Carolina	Florida	7:30 PM ET	FS-F
Wed Nov 26, 2014	Toronto	Pittsburgh	7:30 PM ET	TVA Sports,SN,ROOT
Wed Nov 26, 2014	Los Angeles	Minnesota	8:00 PM ET	FS-N
Wed Nov 26, 2014	Chicago	Colorado	9:00 PM ET	TVA Sports 2,CSN-CH,ALT
Wed Nov 26, 2014	Calgary	San Jose	10:30 PM ET	SNW,CSN-CA
Thu Nov 27, 2014	Edmonton	Nashville	8:00 PM ET	SN360
Fri Nov 28, 2014	NY Rangers	Philadelphia	1:00 PM ET	NBC,SN
Fri Nov 28, 2014	Chicago	Anaheim	4:00 PM ET	NHLN-US,SN,WGN
Fri Nov 28, 2014	NY Islanders	Washington	5:00 PM ET	CSN-DC
Fri Nov 28, 2014	Winnipeg	Boston	7:00 PM ET	TVA Sports 2,TSN3,NESN
Fri Nov 28, 2014	Montréal	Buffalo	7:00 PM ET	RDS,SNE
Fri Nov 28, 2014	Detroit	New Jersey	7:00 PM ET	FS-D
Fri Nov 28, 2014	Carolina	Pittsburgh	7:00 PM ET	NHLN-US,ROOT
Fri Nov 28, 2014	Vancouver	Columbus	7:00 PM ET	SNP,FS-O
Fri Nov 28, 2014	Ottawa	Florida	7:30 PM ET	RDS2,TSN5,FS-F
Fri Nov 28, 2014	Edmonton	St. Louis	8:00 PM ET	SNW
Fri Nov 28, 2014	Minnesota	Dallas	8:30 PM ET	FS-N+
Sat Nov 29, 2014	Philadelphia	NY Rangers	1:00 PM ET	CSN-PH
Sat Nov 29, 2014	Washington	Toronto	7:00 PM ET	HNIC,CSN-DC
Sat Nov 29, 2014	Buffalo	Montréal	7:00 PM ET	NHLN-US,HNIC,TVA Sports
Sat Nov 29, 2014	Ottawa	Tampa Bay	7:00 PM ET	HNIC,SUN
Sat Nov 29, 2014	New Jersey	NY Islanders	7:00 PM ET	
Sat Nov 29, 2014	Pittsburgh	Carolina	7:00 PM ET	HNIC,ROOT
Sat Nov 29, 2014	Columbus	Nashville	8:00 PM ET	FS-O
Sat Nov 29, 2014	St. Louis	Minnesota	8:00 PM ET	FS-N
Sat Nov 29, 2014	Dallas	Colorado	9:00 PM ET	HNIC,ALT
Sat Nov 29, 2014	Calgary	Arizona	10:00 PM ET	HNIC,FS-A
Sat Nov 29, 2014	Chicago	Los Angeles	10:00 PM ET	NHLN-US,HNIC,TVA Sports 2,WGN
Sat Nov 29, 2014	Anaheim	San Jose	10:30 PM ET	CSN-CA
Sun Nov 30, 2014	Vancouver	Detroit	2:00 PM ET	CITY TV,TVA Sports,FS-D
Mon Dec 1, 2014	Tampa Bay	NY Rangers	7:00 PM ET	NHLN-US,TVA Sports,SNO,SNP,SUN
Mon Dec 1, 2014	Florida	Columbus	7:00 PM ET	FS-F,FS-O
Mon Dec 1, 2014	Montréal	Colorado	9:00 PM ET	RDS,SNE,ALT
Mon Dec 1, 2014	Arizona	Edmonton	9:30 PM ET	FS-A,SNW
Mon Dec 1, 2014	Boston	Anaheim	10:00 PM ET	SN1,NESN
Tue Dec 2, 2014	Ottawa	NY Islanders	7:00 PM ET	RDS,TSN5
Tue Dec 2, 2014	New Jersey	Pittsburgh	7:00 PM ET	TVA Sports,ROOT
Tue Dec 2, 2014	Vancouver	Washington	7:00 PM ET	SNP,CSN-DC
Tue Dec 2, 2014	Nashville	Carolina	7:00 PM ET	
Tue Dec 2, 2014	Tampa Bay	Buffalo	7:30 PM ET	NBCSN
Tue Dec 2, 2014	Dallas	Toronto	7:30 PM ET	TSN4
Tue Dec 2, 2014	Florida	Detroit	7:30 PM ET	FS-F,FS-D+
Tue Dec 2, 2014	Arizona	Calgary	9:00 PM ET	FS-A PLUS,SNW
Tue Dec 2, 2014	Philadelphia	San Jose	10:00 PM ET	NBCSN,CSN-PH
Tue Dec 2, 2014	Boston	Los Angeles	10:30 PM ET	NESN
Wed Dec 3, 2014	Montréal	Minnesota	7:00 PM ET	SN,RDS,FS-N
Wed Dec 3, 2014	St. Louis	Chicago	8:00 PM ET	NBCSN,TVA Sports
Wed Dec 3, 2014	Edmonton	Winnipeg	9:00 PM ET	SN,SN1
Wed Dec 3, 2014	Philadelphia	Anaheim	10:30 PM ET	TCN-PH
Thu Dec 4, 2014	Vancouver	Pittsburgh	7:00 PM ET	SN360,ROOT
Thu Dec 4, 2014	Washington	Carolina	7:00 PM ET	CSN-DC
Thu Dec 4, 2014	New Jersey	Toronto	7:30 PM ET	TSN4
Thu Dec 4, 2014	NY Islanders	Ottawa	7:30 PM ET	RDS,TSN5
Thu Dec 4, 2014	Dallas	Detroit	7:30 PM ET	NHLN-US,FS-D
Thu Dec 4, 2014	Buffalo	Tampa Bay	7:30 PM ET	SUN
Thu Dec 4, 2014	Columbus	Florida	7:30 PM ET	FS-O,FS-F
Thu Dec 4, 2014	St. Louis	Nashville	8:00 PM ET	
Thu Dec 4, 2014	Colorado	Calgary	9:00 PM ET	SN1,TVA Sports 2,ALT
Thu Dec 4, 2014	Los Angeles	Arizona	9:00 PM ET	FS-A
Thu Dec 4, 2014	Boston	San Jose	10:30 PM ET	SN360,NESN,CSN-CA
Fri Dec 5, 2014	Anaheim	Minnesota	8:00 PM ET	FS-N+
Fri Dec 5, 2014	Colorado	Winnipeg	8:00 PM ET	ALT,TSN3
Fri Dec 5, 2014	Montréal	Chicago	8:30 PM ET	RDS,SNE,CSN-CH
Sat Dec 6, 2014	Ottawa	Pittsburgh	1:00 PM ET	RDS,TSN5,ROOT
Sat Dec 6, 2014	St. Louis	NY Islanders	1:00 PM ET	
Sat Dec 6, 2014	Philadelphia	Los Angeles	4:00 PM ET	TVA Sports 2,CSN-PH
Sat Dec 6, 2014	Vancouver	Toronto	7:00 PM ET	HNIC
Sat Dec 6, 2014	NY Rangers	Detroit	7:00 PM ET	NHLN-US,HNIC,FS-D
Sat Dec 6, 2014	Columbus	Tampa Bay	7:00 PM ET	FS-O,SUN
Sat Dec 6, 2014	Buffalo	Florida	7:00 PM ET	FS-F
Sat Dec 6, 2014	Washington	New Jersey	7:00 PM ET	CSN-DC
Sat Dec 6, 2014	Chicago	Nashville	7:00 PM ET	HNIC,CSN-CH
Sat Dec 6, 2014	Montréal	Dallas	7:00 PM ET	HNIC,TVA Sports
Sat Dec 6, 2014	Boston	Arizona	8:00 PM ET	NESN,FS-A
Sat Dec 6, 2014	San Jose	Calgary	10:00 PM ET	HNIC,CSN-CA
Sun Dec 7, 2014	Anaheim	Winnipeg	3:00 PM ET	TSN3
Sun Dec 7, 2014	Detroit	Carolina	5:00 PM ET	FS-D+
Sun Dec 7, 2014	Vancouver	Ottawa	7:00 PM ET	NHLN-US,CITY TV,TVA Sports
Sun Dec 7, 2014	San Jose	Edmonton	9:00 PM ET	CSN-CA,SNW
Mon Dec 8, 2014	Pittsburgh	NY Rangers	7:00 PM ET	TVA Sports,SN,ROOT
Mon Dec 8, 2014	New Jersey	Carolina	7:00 PM ET	
Mon Dec 8, 2014	Florida	St. Louis	8:00 PM ET	FS-F
Tue Dec 9, 2014	Chicago	New Jersey	7:00 PM ET	CSN-CH
Tue Dec 9, 2014	Philadelphia	Columbus	7:00 PM ET	CSN-PH,FS-O
Tue Dec 9, 2014	Los Angeles	Buffalo	7:30 PM ET	NBCSN
Tue Dec 9, 2014	Calgary	Toronto	7:30 PM ET	SNW,TSN4
Tue Dec 9, 2014	Vancouver	Montréal	7:30 PM ET	SNP,RDS,SNE
Tue Dec 9, 2014	Washington	Tampa Bay	7:30 PM ET	TVA Sports,CSN-DC,SUN
Tue Dec 9, 2014	NY Islanders	Minnesota	8:00 PM ET	FS-N
Tue Dec 9, 2014	Winnipeg	Dallas	8:30 PM ET	TSN3
Tue Dec 9, 2014	Nashville	Colorado	9:00 PM ET	ALT
Tue Dec 9, 2014	Edmonton	San Jose	10:30 PM ET	SNW,CSN-CA
Wed Dec 10, 2014	Toronto	Detroit	8:00 PM ET	NBCSN,TVA Sports,SN
Wed Dec 10, 2014	Edmonton	Anaheim	10:00 PM ET	SNW,SNF
Thu Dec 11, 2014	Chicago	Boston	7:00 PM ET	NHLN-US,SN360,TVA Sports 2,CSN-CH,NESN
Thu Dec 11, 2014	Calgary	Buffalo	7:00 PM ET	SNF
Thu Dec 11, 2014	New Jersey	Philadelphia	7:00 PM ET	CSN-PH
Thu Dec 11, 2014	Columbus	Washington	7:00 PM ET	FS-O,CSN-DC
Thu Dec 11, 2014	Los Angeles	Ottawa	7:30 PM ET	RDS,TSN5
Thu Dec 11, 2014	Carolina	Tampa Bay	7:30 PM ET	SUN
Thu Dec 11, 2014	NY Islanders	St. Louis	8:00 PM ET	
Thu Dec 11, 2014	Winnipeg	Colorado	9:00 PM ET	TSN3,ALT
Thu Dec 11, 2014	Nashville	Arizona	9:00 PM ET	
Thu Dec 11, 2014	Minnesota	San Jose	10:30 PM ET	FS-N,CSN-CA
Fri Dec 12, 2014	Calgary	Pittsburgh	7:00 PM ET	TVA Sports,SNW,ROOT
Fri Dec 12, 2014	Los Angeles	Montréal	7:30 PM ET	RDS,SNE
Fri Dec 12, 2014	Florida	Detroit	7:30 PM ET	FS-F,FS-D
Fri Dec 12, 2014	Anaheim	Edmonton	9:30 PM ET	SNW
Sat Dec 13, 2014	Ottawa	Boston	1:00 PM ET	RDS,TSN5,NESN
Sat Dec 13, 2014	Carolina	Philadelphia	1:00 PM ET	CSN-PH
Sat Dec 13, 2014	Florida	Buffalo	7:00 PM ET	FS-F
Sat Dec 13, 2014	Detroit	Toronto	7:00 PM ET	NHLN-US,HNIC,TVA Sports,FS-D
Sat Dec 13, 2014	Chicago	NY Islanders	7:00 PM ET	HNIC,WGN
Sat Dec 13, 2014	Tampa Bay	Washington	7:00 PM ET	HNIC,SUN,CSN-DC
Sat Dec 13, 2014	Pittsburgh	Columbus	7:00 PM ET	HNIC,ROOT,FS-O
Sat Dec 13, 2014	Anaheim	Winnipeg	7:00 PM ET	HNIC
Sat Dec 13, 2014	Minnesota	Arizona	8:00 PM ET	FS-N,FS-A
Sat Dec 13, 2014	New Jersey	Dallas	8:30 PM ET	
Sat Dec 13, 2014	St. Louis	Colorado	10:00 PM ET	NHLN-US,HNIC,TVA Sports,ALT
Sat Dec 13, 2014	NY Rangers	Vancouver	10:00 PM ET	HNIC
Sat Dec 13, 2014	Nashville	San Jose	10:30 PM ET	CSN-CA
Sun Dec 14, 2014	Los Angeles	Toronto	5:00 PM ET	TVA Sports,SNO
Sun Dec 14, 2014	Calgary	Chicago	8:00 PM ET	NHLN-US,CITY TV,CSN-CH
Sun Dec 14, 2014	NY Rangers	Edmonton	9:30 PM ET	SNW
Mon Dec 15, 2014	New Jersey	NY Islanders	7:00 PM ET	
Mon Dec 15, 2014	Tampa Bay	Pittsburgh	7:00 PM ET	NBCSN,TVA Sports,SN,ROOT
Tue Dec 16, 2014	Tampa Bay	Philadelphia	7:00 PM ET	SUN,CSN-PH
Tue Dec 16, 2014	Anaheim	Toronto	7:30 PM ET	TVA Sports,TSN4
Tue Dec 16, 2014	Carolina	Montréal	7:30 PM ET	RDS,SNE
Tue Dec 16, 2014	Columbus	Detroit	7:30 PM ET	FS-O,FS-D
Tue Dec 16, 2014	Washington	Florida	7:30 PM ET	CSN-DC+,FS-F
Tue Dec 16, 2014	Los Angeles	St. Louis	8:00 PM ET	NHLN-US
Tue Dec 16, 2014	Boston	Nashville	8:00 PM ET	NESN
Tue Dec 16, 2014	Buffalo	Winnipeg	8:00 PM ET	TSN3
Tue Dec 16, 2014	Minnesota	Chicago	8:30 PM ET	FS-N,CSN-CH
Tue Dec 16, 2014	NY Rangers	Calgary	9:00 PM ET	SNF
Tue Dec 16, 2014	Edmonton	Arizona	9:00 PM ET	SNW,FS-A
Wed Dec 17, 2014	Ottawa	New Jersey	7:00 PM ET	TVA Sports,SN
Wed Dec 17, 2014	Boston	Minnesota	8:00 PM ET	NBCSN,SN1
Wed Dec 17, 2014	Dallas	Vancouver	10:00 PM ET	SN
Thu Dec 18, 2014	Florida	Philadelphia	7:00 PM ET	FS-F,CSN-PH
Thu Dec 18, 2014	Colorado	Pittsburgh	7:00 PM ET	NHLN-US,SN360,TVA Sports 2,ALT,ROOT
Thu Dec 18, 2014	Toronto	Carolina	7:00 PM ET	TSN4
Thu Dec 18, 2014	Washington	Columbus	7:00 PM ET	CSN-DC,FS-O
Thu Dec 18, 2014	Anaheim	Montréal	7:30 PM ET	RDS,CITYM
Thu Dec 18, 2014	St. Louis	Los Angeles	10:30 PM ET	
Thu Dec 18, 2014	Edmonton	San Jose	10:30 PM ET	SN360,CSN-CA
Fri Dec 19, 2014	Tampa Bay	New Jersey	7:00 PM ET	TVA Sports,SUN
Fri Dec 19, 2014	Anaheim	Ottawa	7:30 PM ET	RDS,TSN5
Fri Dec 19, 2014	NY Islanders	Detroit	7:30 PM ET	SN1,FS-D
Fri Dec 19, 2014	Boston	Winnipeg	8:00 PM ET	NESN,TSN3
Fri Dec 19, 2014	Dallas	Calgary	9:00 PM ET	SNW
Sat Dec 20, 2014	Arizona	Los Angeles	4:00 PM ET	FS-A
Sat Dec 20, 2014	Colorado	Buffalo	7:00 PM ET	HNIC,ALT2
Sat Dec 20, 2014	Philadelphia	Toronto	7:00 PM ET	HNIC,CSN-PH
Sat Dec 20, 2014	Ottawa	Montréal	7:00 PM ET	NHLN-US,HNIC,TVA Sports
Sat Dec 20, 2014	Washington	New Jersey	7:00 PM ET	CSN-DC
Sat Dec 20, 2014	Tampa Bay	NY Islanders	7:00 PM ET	HNIC,SUN
Sat Dec 20, 2014	Florida	Pittsburgh	7:00 PM ET	FS-F,ROOT
Sat Dec 20, 2014	NY Rangers	Carolina	7:00 PM ET	
Sat Dec 20, 2014	Chicago	Columbus	7:00 PM ET	WGN,FS-O
Sat Dec 20, 2014	Nashville	Minnesota	8:00 PM ET	FS-N
Sat Dec 20, 2014	Calgary	Vancouver	10:00 PM ET	HNIC
Sat Dec 20, 2014	St. Louis	San Jose	10:30 PM ET	CSN-CA
Sun Dec 21, 2014	Colorado	Detroit	6:00 PM ET	ALT,FS-D
Sun Dec 21, 2014	Dallas	Edmonton	6:00 PM ET	SNW
Sun Dec 21, 2014	Buffalo	Boston	7:00 PM ET	NESN
Sun Dec 21, 2014	Carolina	NY Rangers	7:00 PM ET	
Sun Dec 21, 2014	Toronto	Chicago	7:00 PM ET	NHLN-US,CITY TV,TVA Sports,WGN
Sun Dec 21, 2014	Philadelphia	Winnipeg	9:00 PM ET	TCN-PH,TSN3
Mon Dec 22, 2014	Ottawa	Washington	7:00 PM ET	RDS,TSN5,CSN-DC
Mon Dec 22, 2014	Nashville	Columbus	7:00 PM ET	FS-O
Mon Dec 22, 2014	Pittsburgh	Florida	7:30 PM ET	TVA Sports,SN,ROOT,FS-F
Mon Dec 22, 2014	Arizona	Vancouver	10:00 PM ET	NHLN-US,FS-A,SNP
Mon Dec 22, 2014	San Jose	Anaheim	10:00 PM ET	CSN-CA
Mon Dec 22, 2014	Calgary	Los Angeles	10:30 PM ET	SNW
Tue Dec 23, 2014	Nashville	Boston	7:00 PM ET	NESN
Tue Dec 23, 2014	Carolina	New Jersey	7:00 PM ET	
Tue Dec 23, 2014	Montréal	NY Islanders	7:00 PM ET	RDS,SNE
Tue Dec 23, 2014	Washington	NY Rangers	7:00 PM ET	CSN-DC
Tue Dec 23, 2014	Philadelphia	Minnesota	7:00 PM ET	TCN-PH,FS-N+
Tue Dec 23, 2014	Toronto	Dallas	7:00 PM ET	SNO
Tue Dec 23, 2014	Buffalo	Detroit	7:30 PM ET	FS-D
Tue Dec 23, 2014	Pittsburgh	Tampa Bay	7:30 PM ET	TVA Sports,ROOT,SUN
Tue Dec 23, 2014	Arizona	Edmonton	8:00 PM ET	SNW
Tue Dec 23, 2014	St. Louis	Colorado	8:00 PM ET	NBCSN,TVA Sports 2
Tue Dec 23, 2014	Winnipeg	Chicago	8:30 PM ET	TSN3,CSN-CH+
Sat Dec 27, 2014	NY Islanders	Buffalo	7:00 PM ET	
Sat Dec 27, 2014	Detroit	Ottawa	7:00 PM ET	HNIC,TVA Sports 2,FS-D
Sat Dec 27, 2014	Carolina	Tampa Bay	7:00 PM ET	SUN
Sat Dec 27, 2014	New Jersey	NY Rangers	7:00 PM ET	
Sat Dec 27, 2014	Boston	Columbus	7:00 PM ET	HNIC,NESN,FS-O
Sat Dec 27, 2014	Winnipeg	Minnesota	7:00 PM ET	HNIC,FS-N
Sat Dec 27, 2014	Washington	Pittsburgh	7:30 PM ET	NBCSN,HNIC,TVA Sports,ROOT
Sat Dec 27, 2014	Dallas	St. Louis	8:00 PM ET	
Sat Dec 27, 2014	Philadelphia	Nashville	8:00 PM ET	CSN-PH
Sat Dec 27, 2014	Anaheim	Arizona	8:00 PM ET	FS-A
Sat Dec 27, 2014	Chicago	Colorado	9:00 PM ET	CSN-CH,ALT
Sat Dec 27, 2014	Edmonton	Calgary	10:00 PM ET	HNIC
Sat Dec 27, 2014	San Jose	Los Angeles	10:00 PM ET	NBCSN
Sun Dec 28, 2014	Toronto	Florida	5:00 PM ET	TVA Sports,SNO,FS-F
Sun Dec 28, 2014	Vancouver	Anaheim	8:00 PM ET	CITY TV,TVA Sports
Mon Dec 29, 2014	Detroit	Boston	7:00 PM ET	NBCSN,TVA Sports,SN1,SNP,FS-D,NESN
Mon Dec 29, 2014	Pittsburgh	New Jersey	7:00 PM ET	ROOT
Mon Dec 29, 2014	Washington	NY Islanders	7:00 PM ET	CSN-DC
Mon Dec 29, 2014	Montréal	Carolina	7:00 PM ET	RDS,SNE
Mon Dec 29, 2014	Buffalo	Ottawa	7:30 PM ET	RDSI,TSN5
Mon Dec 29, 2014	Toronto	Tampa Bay	7:30 PM ET	SNO,SUN
Mon Dec 29, 2014	Colorado	St. Louis	8:00 PM ET	ALT
Mon Dec 29, 2014	Minnesota	Winnipeg	8:00 PM ET	FS-N,TSN3
Mon Dec 29, 2014	Nashville	Chicago	8:30 PM ET	CSN-CH
Mon Dec 29, 2014	NY Rangers	Dallas	8:30 PM ET	
Mon Dec 29, 2014	Los Angeles	Calgary	9:00 PM ET	SNW
Mon Dec 29, 2014	Philadelphia	Arizona	9:00 PM ET	CSN-PH,FS-A
Tue Dec 30, 2014	Montréal	Florida	7:30 PM ET	RDS,SNE,FS-F
Tue Dec 30, 2014	St. Louis	Nashville	8:00 PM ET	
Tue Dec 30, 2014	Los Angeles	Edmonton	9:30 PM ET	TVA Sports,SNW
Tue Dec 30, 2014	Vancouver	San Jose	10:00 PM ET	SNP,CSN-CA
Wed Dec 31, 2014	NY Islanders	Winnipeg	5:00 PM ET	TSN3
Wed Dec 31, 2014	Tampa Bay	Buffalo	6:00 PM ET	SUN
Wed Dec 31, 2014	NY Rangers	Florida	6:00 PM ET	FS-F
Wed Dec 31, 2014	Toronto	Boston	7:00 PM ET	TVA Sports,SN,NESN
Wed Dec 31, 2014	Carolina	Pittsburgh	7:00 PM ET	ROOT
Wed Dec 31, 2014	Minnesota	Columbus	7:00 PM ET	FS-N,FS-O
Wed Dec 31, 2014	New Jersey	Detroit	7:30 PM ET	FS-D
Wed Dec 31, 2014	San Jose	Anaheim	8:00 PM ET	CSN-CA
Wed Dec 31, 2014	Arizona	Dallas	8:30 PM ET	FS-A PLUS
Wed Dec 31, 2014	Philadelphia	Colorado	9:00 PM ET	CSN-PH,ALT
Wed Dec 31, 2014	Edmonton	Calgary	9:30 PM ET	SN
Thu Jan 1, 2015	Chicago	Washington	1:00 PM ET	CBC,NBC,TVA Sports
Thu Jan 1, 2015	Los Angeles	Vancouver	10:00 PM ET	SN
Fri Jan 2, 2015	Florida	Buffalo	7:00 PM ET	FS-F
Fri Jan 2, 2015	Montréal	New Jersey	7:00 PM ET	RDS,SNE
Fri Jan 2, 2015	Tampa Bay	Pittsburgh	7:00 PM ET	TVA Sports,SNE,SNO,SNP,SUN,ROOT
Fri Jan 2, 2015	Philadelphia	Carolina	7:00 PM ET	CSN-PH
Fri Jan 2, 2015	Toronto	Minnesota	8:00 PM ET	SNO,FS-N
Fri Jan 2, 2015	Edmonton	Colorado	9:00 PM ET	SNW,ALT
Fri Jan 2, 2015	NY Islanders	Calgary	9:00 PM ET	SN1
Fri Jan 2, 2015	St. Louis	Anaheim	10:00 PM ET	
Sat Jan 3, 2015	Ottawa	Boston	1:00 PM ET	RDS,TSN5,NESN
Sat Jan 3, 2015	Nashville	Los Angeles	4:00 PM ET	
Sat Jan 3, 2015	Philadelphia	New Jersey	7:00 PM ET	NHLN-US,HNIC,CSN-PH
Sat Jan 3, 2015	Buffalo	NY Rangers	7:00 PM ET	HNIC
Sat Jan 3, 2015	Montréal	Pittsburgh	7:00 PM ET	HNIC,TVA Sports,ROOT
Sat Jan 3, 2015	Toronto	Winnipeg	7:00 PM ET	HNIC
Sat Jan 3, 2015	Minnesota	Dallas	8:00 PM ET	FS-N
Sat Jan 3, 2015	Columbus	Arizona	8:00 PM ET	FS-O,FS-A
Sat Jan 3, 2015	Detroit	Vancouver	10:00 PM ET	HNIC,TVA Sports 2,FS-D
Sat Jan 3, 2015	St. Louis	San Jose	10:30 PM ET	CSN-CA
Sun Jan 4, 2015	Boston	Carolina	1:00 PM ET	NESN
Sun Jan 4, 2015	Florida	Washington	3:00 PM ET	FS-F,CSN-DC
Sun Jan 4, 2015	Tampa Bay	Ottawa	7:00 PM ET	CITY TV,TVA Sports,SUN
Sun Jan 4, 2015	Dallas	Chicago	8:00 PM ET	NBCSN,WGN
Sun Jan 4, 2015	Columbus	Colorado	8:00 PM ET	FS-O,ALT
Sun Jan 4, 2015	Nashville	Anaheim	8:00 PM ET	
Sun Jan 4, 2015	NY Islanders	Edmonton	9:30 PM ET	SNW
Mon Jan 5, 2015	San Jose	Winnipeg	8:00 PM ET	TVA Sports,CSN-CA,TSN3
Tue Jan 6, 2015	Buffalo	New Jersey	7:00 PM ET	
Tue Jan 6, 2015	Ottawa	Philadelphia	7:00 PM ET	RDS2,TSN5,CSN-PH
Tue Jan 6, 2015	Tampa Bay	Montréal	7:30 PM ET	SUN,RDS,SNE
Tue Jan 6, 2015	Carolina	Nashville	8:00 PM ET	
Tue Jan 6, 2015	San Jose	Minnesota	8:00 PM ET	NBCSN
Tue Jan 6, 2015	Colorado	Chicago	8:30 PM ET	SN1,SNO,TVA Sports 2,ALT,CSN-CH
Tue Jan 6, 2015	Columbus	Dallas	8:30 PM ET	FS-O
Tue Jan 6, 2015	St. Louis	Arizona	9:00 PM ET	
Tue Jan 6, 2015	Detroit	Edmonton	9:30 PM ET	FS-D+,SNW
Tue Jan 6, 2015	NY Islanders	Vancouver	10:00 PM ET	SNP
Wed Jan 7, 2015	Washington	Toronto	7:00 PM ET	SN,CSN-DC
Wed Jan 7, 2015	Boston	Pittsburgh	8:00 PM ET	NBCSN,TVA Sports
Wed Jan 7, 2015	Detroit	Calgary	9:30 PM ET	SN,FS-D+
Wed Jan 7, 2015	NY Rangers	Anaheim	10:30 PM ET	NBCSN
Thu Jan 8, 2015	New Jersey	Boston	7:00 PM ET	NESN
Thu Jan 8, 2015	Washington	Philadelphia	7:00 PM ET	TVA Sports,SN360,CSN-DC,CSN-PH
Thu Jan 8, 2015	Buffalo	Carolina	7:00 PM ET	
Thu Jan 8, 2015	San Jose	St. Louis	8:00 PM ET	CSN-CA
Thu Jan 8, 2015	Dallas	Nashville	8:00 PM ET	
Thu Jan 8, 2015	Chicago	Minnesota	8:00 PM ET	NHLN-US,CSN-CH,FS-N
Thu Jan 8, 2015	Ottawa	Colorado	9:00 PM ET	RDS,TSN5,ALT
Thu Jan 8, 2015	Winnipeg	Arizona	9:00 PM ET	TSN3,FS-A
Thu Jan 8, 2015	Florida	Vancouver	10:00 PM ET	FS-F,SNP
Thu Jan 8, 2015	NY Rangers	Los Angeles	10:30 PM ET	NHLN-US,SN360
Fri Jan 9, 2015	NY Islanders	New Jersey	7:00 PM ET	TVA Sports 2
Fri Jan 9, 2015	Columbus	Toronto	7:30 PM ET	FS-O,TSN4
Fri Jan 9, 2015	Buffalo	Tampa Bay	7:30 PM ET	SUN
Fri Jan 9, 2015	Florida	Calgary	9:00 PM ET	SN1,FS-F
Fri Jan 9, 2015	Chicago	Edmonton	9:30 PM ET	CSN-CH,SNW
Sat Jan 10, 2015	Boston	Philadelphia	1:00 PM ET	NHLN-US,NESN,CSN-PH
